pmkld,fldDefinition
Print ,A variable in which the following text or commands are printed
$variable,The $ indicates a variable within PHP
Array ( ),Prints a list of all items within the parentheses in the order they appear
Fopen,Opens a file and reads the information from it 
$ERROR ,"In the context of a form, indicates there is an error in what the user has typed"
Echo,Prints text directly from PHP
&lt;?php,Opening tag to indicate the beginning of PHP code 
?> ,Closing tag to indicate end of PHP code 
"Include "".""","Includes another file within your PHP document such as a header, top, footer, etc. "
;,"A semi-colon ends all lines of PHP, similar to CSS"
